,matches
53869,"[(28736, 0.7480804834202742), (9361, 0.7230903117982742), (52952, 0.7150677904638453), (33722, 0.7147502608548205), (324, 0.7131768317549825), (16514, 0.7096926371557598), (38453, 0.6942176930048258), (19082, 0.6931329754891737), (44449, 0.692938504505076), (28556, 0.6916941220214996), (24458, 0.6898594836212274), (16507, 0.685709488569563), (11788, 0.6828316969202776), (43550, 0.6808497889444128), (22397, 0.6782645497481361), (41456, 0.678015142895454), (1902, 0.6771992670315882), (51965, 0.6764620214818571), (42518, 0.6758202555669901), (24010, 0.6757563330862464), (30727, 0.6740485278368427), (4958, 0.6740433830276261), (7896, 0.673361008020731), (18602, 0.6726516733483523), (8818, 0.6694432104227377), (56790, 0.6689375423482903), (12712, 0.6679656758237911), (7055, 0.6677640194037199), (55942, 0.6667427261862683), (27546, 0.6660517501016732), (16288, 0.6646406881932468), (9105, 0.664386743544623), (25748, 0.6637870353406421), (12790, 0.6631838618232471), (35090, 0.662821965157858), (43148, 0.662604045664216), (56189, 0.6611224379660517), (16717, 0.6607425877294263), (59722, 0.6605111954792376), (15174, 0.6602432906146329), (51828, 0.6601357851770158), (43999, 0.6594887919065885), (28063, 0.6592627977671099), (38658, 0.6589399525344368), (18534, 0.6584725296018762), (29231, 0.6582395192300787), (1168, 0.6577739234292767), (48307, 0.6577350656095684), (27476, 0.657202152577168), (56665, 0.6564045542123351), (28236, 0.6555517029112786), (31155, 0.6540558031501044), (9226, 0.6537078641482152), (9392, 0.6513841745140586), (18925, 0.6510820408732444), (46916, 0.6510400509646947), (36399, 0.6503436669877175), (13106, 0.6502203304017732), (54660, 0.6500872956075305), (9050, 0.6500141515245659)]"
47010,"[(47482, 0.6533838209305891)]"
6621,"[(38129, 0.7280122810502695), (50678, 0.7207865783723955), (37113, 0.7180323147203402), (24272, 0.717816683249951), (7896, 0.7104952313225756), (53906, 0.7062735765690743), (56982, 0.6977550479100364), (21063, 0.6971329873315313), (47061, 0.6904009297185778), (58320, 0.6902740534022265), (31499, 0.6834940438627379), (37078, 0.679166436813553), (17701, 0.6783861754168319), (47020, 0.6781519074919726), (54182, 0.6755606960426802), (54751, 0.6690158403720458), (21932, 0.6676708016883933), (53546, 0.6667357105610219), (16294, 0.6654600190184307), (31185, 0.6653279329739458), (21108, 0.6642556141389425), (35676, 0.6641376440845689), (47730, 0.6620485870019818), (9349, 0.6615742567085316), (33875, 0.659381244169249), (50541, 0.6590338685763504), (1039, 0.6587493612604607), (33405, 0.6570727126852473), (56189, 0.6560778640442738), (17403, 0.6556033248353973), (24834, 0.6532952973676684), (55699, 0.6507663531523767)]"
24329,"[(22452, 0.6546840998404041), (21108, 0.6511550052412173)]"
47036,"[(27004, 0.750890407190657), (32231, 0.7228135654083159), (23671, 0.7226644956176271), (56278, 0.7155711356715052), (24292, 0.7068330507589583), (1552, 0.7050963470365981), (44610, 0.7044140042844116), (17869, 0.7010662585784807), (58268, 0.6999350957526991), (22814, 0.6949311929196621), (2155, 0.6943686616376115), (6298, 0.693706785181059), (42668, 0.6919204297231358), (7721, 0.6905661366189275), (3542, 0.6889049742116697), (22592, 0.6887616719888116), (26658, 0.6870236845250567), (40941, 0.6867993363876082), (28973, 0.6853497411036198), (8583, 0.6827582479629841), (4958, 0.6812797799467023), (42160, 0.6809449819921409), (11887, 0.6800582205105999), (31950, 0.6789493500695609), (57192, 0.6780097091311965), (22564, 0.6756279478746284), (2310, 0.6752966051085579), (14123, 0.6738161564845039), (29864, 0.67366735929367), (10644, 0.6716481077255436), (34, 0.6700352532315744), (51102, 0.6666208311914519), (42630, 0.6657456860674927), (43320, 0.6654410862480808), (56681, 0.6653615638496297), (3320, 0.665033966815127), (8943, 0.6636499259163002), (12677, 0.6635345829474735), (54795, 0.6633065824186727), (54116, 0.6624011933535108), (15560, 0.6618613468705699), (44720, 0.6618036625910946), (45615, 0.6616980790279354), (20483, 0.6616202487828714), (11226, 0.6602381839014292), (5988, 0.6600789700970802), (51026, 0.659656610311456), (23706, 0.6586787384142022), (19112, 0.6569205445572017), (8641, 0.6558334998577571), (44332, 0.6548748521520118), (46353, 0.6547204752842333), (21738, 0.6541016928313758), (53915, 0.653602742404915), (41276, 0.6533588511413461), (35369, 0.6528728672999328), (13924, 0.6527951650077736), (34895, 0.6511509108852476), (12553, 0.650788117179941), (34147, 0.6502167553854986), (33321, 0.6501244254558672)]"
20030,"[(9095, 0.7290595661939212), (9392, 0.6988519904214676), (14295, 0.6974732405249712), (44836, 0.6900797716496421), (51124, 0.6817256113343244), (11503, 0.6798507776802596), (55517, 0.6780930542600164), (56833, 0.6720221630334259), (35090, 0.6675578708787245), (32929, 0.6532773904941882), (59943, 0.6524476327690719), (7589, 0.652258869917359)]"
8955,"[(43954, 0.6982288139061925), (8988, 0.6896945317169748), (44836, 0.6697709426675937), (20256, 0.6584557120838147), (55541, 0.6531528912571066), (3721, 0.6521799950734011)]"
48785,"[(19161, 0.8065427311845343), (2737, 0.7797797200694486), (32231, 0.772805617476993), (29124, 0.7573862355990101), (33321, 0.7503651355209799), (44028, 0.7499712938267977), (12790, 0.7491814009087665), (30359, 0.7443118361365076), (37602, 0.7427144452888839), (36991, 0.7398603242071445), (30356, 0.7336335051279586), (52839, 0.7274350155032504), (34, 0.7253740579978717), (3542, 0.7236313197502144), (49826, 0.7218114415036627), (40627, 0.7200356493251339), (43684, 0.7192283089844076), (8871, 0.7179236431555364), (44420, 0.7175535646418922), (17869, 0.717481825738587), (47404, 0.7153353385315748), (14255, 0.7149398699754889), (1637, 0.7140036126186685), (1560, 0.7132225109477751), (5175, 0.703001960156494), (46683, 0.7013911405937291), (11468, 0.7012663405201287), (23671, 0.6999739477997541), (44952, 0.6999588371446731), (8057, 0.6955278644070586), (55225, 0.6942328448265737), (23922, 0.6922148335936803), (16656, 0.6898130124773875), (8920, 0.6888641136921843), (34785, 0.6881985688353925), (1552, 0.6873444866272981), (31603, 0.6866392403802243), (4958, 0.6862586726588593), (39027, 0.6861653916173462), (30989, 0.6858151788752576), (5417, 0.6847501695299653), (8964, 0.6844961059936172), (2310, 0.6842927807082326), (51497, 0.6838274892734887), (58778, 0.683394188001937), (43889, 0.6824937487576745), (9718, 0.6816577704761699), (44720, 0.6799424308409098), (31889, 0.6792252151527516), (5483, 0.6790936932685285), (15853, 0.6785763460205508), (49792, 0.6774565852011997), (37839, 0.6754253660731291), (59208, 0.6733481391657964), (6621, 0.6732299324350075), (39554, 0.6727265913804426), (22592, 0.6711857150265872), (41907, 0.6706465063399365), (58268, 0.67064133071543), (54164, 0.6697194630314061), (14164, 0.6684854406531648), (40566, 0.6676497779884994), (40058, 0.6676185667948565), (7291, 0.6674463761144004), (56427, 0.6668052659639774), (50704, 0.6661899343101921), (16398, 0.6658298543067458), (16903, 0.6657194589906952), (30082, 0.6652001833083415), (11485, 0.6645615369583047), (15248, 0.66369503401923), (19143, 0.6631719978657338), (24849, 0.6628943768526564), (7287, 0.6622672496119711), (49014, 0.6596831404519847), (41987, 0.6594331026295526), (23805, 0.6594075558343515), (31448, 0.6593405131002458), (16312, 0.659180601117109), (13036, 0.6586921320650104), (28862, 0.6583425851397119), (26240, 0.6580256295445143), (21782, 0.657960278801833), (2322, 0.6563538630500584), (11781, 0.6562995290337894), (26167, 0.6545286488080272), (44348, 0.6544415732507896), (18977, 0.6542727540099906), (5340, 0.6529142960599411), (24419, 0.6528582436374124), (44015, 0.6525929304934387), (45531, 0.6520850407351833), (50369, 0.6516623386727022), (54795, 0.650948678518388), (59048, 0.6508444531019284), (28679, 0.6507418455455641)]"
8743,"[(32231, 0.7184018788776422), (40058, 0.7120352738223932), (55541, 0.6952530915191109), (37139, 0.6917231835519609), (56681, 0.6910271350085636), (31950, 0.6909151418298537), (53915, 0.687538273837179), (42312, 0.6797073942777919), (12492, 0.6774501133022756), (1552, 0.6737539299670305), (20317, 0.6715863056823469), (54795, 0.6695121042203238), (30082, 0.6675226223193961), (59208, 0.6661305420222764), (1583, 0.6660559087887457), (26240, 0.6652508627684707), (22592, 0.6644711333190162), (24849, 0.6637531353964191), (5340, 0.6635362319743352), (2155, 0.6632546412682235), (33321, 0.6626362555646024), (3542, 0.6621005202850011), (14706, 0.6613439875100493), (53061, 0.6609807802496447), (44034, 0.6606535596883413), (15235, 0.6584035936449717), (58533, 0.6570403466448119), (21738, 0.656377557128713), (28556, 0.6556328781329431), (23671, 0.655240059326176), (48523, 0.6510597132323577), (58282, 0.6509949422600477), (51436, 0.6506611039018829), (57422, 0.6500644644643262)]"
9455,"[(13961, 0.6756108296892667), (2473, 0.6670242139619122), (5988, 0.663580699298097), (39554, 0.6598246200129698), (57949, 0.6573178307748684), (1560, 0.6571125391719279)]"
28236,"[(35676, 0.7571512660779508), (22209, 0.7259213992220279), (54760, 0.7188842850692583), (30851, 0.707023300994471), (14435, 0.7050547468248508), (9361, 0.6938527407788272), (47044, 0.6937368258834163), (36032, 0.6927576820055583), (3268, 0.6926266154077858), (41744, 0.68890744126392), (40370, 0.6855515446144715), (12000, 0.6829155789334667), (28068, 0.6823870444833218), (5547, 0.6801631217532784), (54182, 0.679297539205936), (13106, 0.6769907671633757), (24266, 0.6764342839493328), (41456, 0.6745266360450113), (13443, 0.6697254128582657), (17701, 0.6696234563803899), (49658, 0.6681945285566363), (18299, 0.6671885979030633), (50576, 0.6664108985932565), (50678, 0.6659743845113576), (7896, 0.6648654940670736), (4771, 0.6639678630095635), (29425, 0.6629127236819522), (16782, 0.6624957175053204), (52809, 0.6604793483697909), (42225, 0.6598318475323419), (55900, 0.6588497405106346), (16165, 0.657607895044516), (21093, 0.6572336169640055), (10942, 0.6558699999696264), (53869, 0.6555517029112786), (16023, 0.6529843803624094), (52359, 0.652749521529795), (43582, 0.6520620889350951), (16257, 0.6513567049486818), (34615, 0.6508474049428851), (13514, 0.6507925143034631), (25712, 0.6505070547058637)]"
38123,[]
55355,[]
40042,[]
16553,"[(44028, 0.8192392732184411), (9718, 0.7688324145796398), (30082, 0.7683866208109995), (16312, 0.7457472833924986), (35278, 0.7446265402833455), (49826, 0.7348144166730523), (44720, 0.7294476670390354), (10857, 0.7217818713860913), (1735, 0.7217652056832075), (23805, 0.7156034078632276), (50704, 0.7134219896995826), (42312, 0.7088331225845026), (11361, 0.7083313674326114), (41907, 0.7074938793037123), (52839, 0.7042026831394074), (34461, 0.6995406146586212), (27004, 0.699354334188463), (8057, 0.6987276919968145), (8871, 0.6986673530340096), (28445, 0.6984141850257884), (30356, 0.6969428063451443), (4322, 0.6942121993153828), (23671, 0.692260074990748), (26240, 0.6922299995170009), (24849, 0.6904648532098158), (22741, 0.6901165081329678), (34785, 0.6871515653905372), (38428, 0.6855210391101955), (21738, 0.6835521960123159), (19345, 0.6788934078290952), (46908, 0.6783972088325875), (17869, 0.678378875850549), (19161, 0.6776090192162838), (1552, 0.6749611406293429), (22592, 0.6747477188735488), (46683, 0.6733204165962383), (31512, 0.6714928113503842), (50630, 0.66734848572775), (30296, 0.6642089376904737), (54986, 0.664208260867476), (32407, 0.6638785888718668), (56427, 0.6611517334099387), (58268, 0.6579374268410133), (41551, 0.656898354649062), (32231, 0.6565007360207392), (3553, 0.6560054733323933), (14266, 0.6537685122458783), (14164, 0.6517855130459073), (48785, 0.6515695268829396), (18978, 0.6506501913290568), (26474, 0.6503598042491416)]"
20707,[]
34625,[]
