,matches
58002,"[(44610, 0.7411273686411054), (17805, 0.7273894522408928), (8943, 0.7210141506616862), (28556, 0.7071372537799749), (7576, 0.7037140170857418), (22397, 0.7010325566451311), (18173, 0.699206925205574), (13961, 0.6975907172115503), (21738, 0.6953000293951556), (45656, 0.6897908559844907), (45924, 0.6896600627140099), (1419, 0.6893759963293891), (2200, 0.6878316688257827), (34015, 0.6877395817828004), (19112, 0.6874962502462494), (39095, 0.6864273574799177), (23130, 0.6859674038831957), (15067, 0.6854650564397656), (37720, 0.6835554146267562), (34895, 0.6820090922331298), (24292, 0.6812268771282037), (3542, 0.681178565159799), (1902, 0.6809317410437673), (18764, 0.6783189571128374), (17045, 0.6780021138387424), (47036, 0.6779865708021732), (19703, 0.6776328208610799), (6298, 0.677240187201581), (10644, 0.6758171342073136), (22814, 0.6749543694149398), (42160, 0.6739932210539922), (54182, 0.6737182037095056), (13661, 0.6732470143129238), (49112, 0.6732185027513078), (781, 0.6724317266644421), (27004, 0.6723947283167296), (34147, 0.6718871157448859), (906, 0.671857603203579), (31950, 0.6712453391371173), (57581, 0.6709798867428619), (28639, 0.6707598630995995), (9519, 0.6701153053468201), (58533, 0.6700190263654293), (36199, 0.669347465489992), (52359, 0.6693200708283452), (46939, 0.668538323450457), (1723, 0.6676733805228239), (13924, 0.6674688875313617), (14123, 0.6671330210432245), (40094, 0.6671146074793086), (54116, 0.6669652717604827), (20095, 0.6667146674001033), (54986, 0.6660864070280378), (49308, 0.6656246536393653), (12370, 0.6655529962267097), (30082, 0.665545598087618), (2155, 0.6654081416593938), (10804, 0.6652842676809402), (34869, 0.6647601460218829), (5988, 0.6645434251108632), (12271, 0.6640993982526098), (21191, 0.663484693812019), (4958, 0.662049193407413), (8177, 0.6620093718828066), (57192, 0.6618590531292476), (19190, 0.6600796910807873), (15069, 0.6600730279235812), (13064, 0.659952009051546), (54795, 0.6596333049619276), (34191, 0.6596115881088775), (13036, 0.6586884727103995), (56189, 0.6586762873804326), (9044, 0.6584934910050588), (34196, 0.6581195200312842), (43148, 0.6574989703469132), (29920, 0.6574080696711779), (4048, 0.6570310889789405), (59208, 0.6561741113388523), (9361, 0.655858340313105), (48244, 0.6558102777288498), (6141, 0.6552852480526468), (24575, 0.6551063197138085), (26403, 0.6549583123271702), (1819, 0.6548179022298416), (22592, 0.6539753368880511), (58455, 0.6539253929849802), (55863, 0.653789376878109), (42139, 0.6534870547569552), (8641, 0.6527617786823093), (20483, 0.65242088313997), (13093, 0.6524189554193836), (54760, 0.6522594945611164), (12553, 0.65197346407943), (21334, 0.6517739055092782), (46533, 0.651719215414857), (42630, 0.6512105018979047), (45307, 0.6511850564214199), (56665, 0.6510045094152892), (48948, 0.6508429688155177), (18602, 0.6505079880604034), (8743, 0.6503388646353742), (58268, 0.6501053374368215), (12900, 0.6500572323804066)]"
56458,[]
45430,[]
57612,"[(12677, 0.678538925214553)]"
20136,"[(40042, 0.6903139449881941), (9105, 0.6900446952086011), (14123, 0.6823818709725769), (19285, 0.6805461948893963), (40281, 0.6775455934407064), (49308, 0.667725253601688), (30065, 0.6660389779728318), (31950, 0.6613883274208623), (37288, 0.6576069454269698), (51436, 0.6569757454878372), (12553, 0.6510178291697674)]"
54666,"[(13390, 0.6724186031064737)]"
44759,[]
19938,"[(22397, 0.7388911500416644), (42874, 0.7124519952695035), (13093, 0.6642328141640464), (13064, 0.6629779036934754), (29206, 0.658901148944837), (22037, 0.6580075106613013), (46939, 0.6574912498335971), (14987, 0.6531653267753078)]"
28155,"[(29124, 0.7198537811040945), (58268, 0.7190593686758533), (26240, 0.7091546449711676), (35938, 0.699563260510823), (46908, 0.6929107782547418), (52016, 0.6914357777007767), (51102, 0.6890367856684212), (1552, 0.6883945481080176), (21782, 0.6877375523693632), (38005, 0.6781450758668711), (29231, 0.6753533110795259), (37839, 0.6746279709975946), (34147, 0.6728041853323788), (3296, 0.6713277343326943), (37139, 0.6671301737482517), (40941, 0.66605884938557), (33558, 0.6631549613780245), (15248, 0.6620071205532739), (4958, 0.6619149388582829), (44412, 0.661163121888833), (24292, 0.6585510128713902), (56278, 0.6526461055918941), (30356, 0.651620126151978), (44034, 0.6506681584973146)]"
28857,[]
40427,"[(58020, 0.6573422575461166)]"
11226,"[(29425, 0.6904747656297563), (7117, 0.6850732699382505), (17805, 0.6732457396130942), (22037, 0.6731376695609445), (51204, 0.6663094020442568), (46916, 0.6619354114360319), (47036, 0.6602381839014292), (22397, 0.6601562229223896), (22552, 0.6581194930668888), (23004, 0.6535558310769534), (45085, 0.6531712142291338), (52359, 0.6500538241621435)]"
8789,"[(46908, 0.6838326220438348), (44028, 0.6810583410782857), (17869, 0.6765791566788257), (31191, 0.669867040417011), (44720, 0.6648055396604665), (18977, 0.6611350645664363), (46683, 0.6593100136297055), (34461, 0.6553719119283986), (41093, 0.65513441279647), (15560, 0.6545019845784418), (49826, 0.6537509905911653), (4889, 0.6507804019992378)]"
12046,"[(4368, 0.6781529130610547), (16023, 0.6673041494726186), (56665, 0.6605398309807868), (50576, 0.6559793828822307)]"
32693,"[(42675, 0.999999999999206), (59143, 0.999999999999206), (36002, 0.999999999999206), (59416, 0.999999999999206), (58288, 0.999999999999206), (16073, 0.999999999999206), (15150, 0.999999999999206), (14216, 0.999999999999206), (16340, 0.999999999999206), (34174, 0.999999999999206), (27314, 0.999999999999206), (23083, 0.9999999999991719), (53632, 0.9999999999991719), (25261, 0.9999999999991719), (39993, 0.9999999999991719), (26096, 0.9999999999991719), (3979, 0.9999999999991719), (33048, 0.9999999999991719), (24759, 0.9999999999991719), (51121, 0.9999999999991719), (27547, 0.9999999999991719), (39090, 0.9999999999991719)]"
47926,[]
50764,[]
44017,"[(19257, 0.6845365960078061), (52960, 0.6604118992889418), (324, 0.6589499386177906), (42961, 0.6541510578883872)]"
3301,[]
54758,[]
14447,[]
26003,[]
4242,[]
15582,"[(23004, 0.6832578524593306)]"
7721,"[(22397, 0.7412352816064477), (46818, 0.7171463322041747), (1039, 0.7159418756528609), (7881, 0.7136000106106634), (52359, 0.6965845768243626), (20402, 0.6933876107307405), (47036, 0.6905661366189275), (1723, 0.6874533600270779), (11380, 0.6802508762501362), (46939, 0.6793065129124407), (59883, 0.67477452600465), (56599, 0.6747618548814815), (12892, 0.6738003732378814), (42371, 0.6731425773934782), (7365, 0.6692036246321713), (22452, 0.6679014001802169), (18764, 0.6675368235526015), (37115, 0.6670917892795241), (21063, 0.6624135832533591), (51204, 0.6616362685929229), (4661, 0.6563259784575931), (29315, 0.6541022506464227), (53546, 0.6530719704982486), (19075, 0.6524768207477204)]"
46372,[]
19075,"[(7968, 0.7565228360427094), (30356, 0.7548776387704987), (37303, 0.7502025079752865), (8641, 0.7356020832744812), (21443, 0.7327761963301377), (1637, 0.7292203081998051), (23671, 0.7271824741172324), (33250, 0.7259469083779818), (4322, 0.7207820143955443), (43969, 0.7172749033719924), (35830, 0.7147356527153174), (24849, 0.7113779973893044), (14164, 0.7107678433687074), (22592, 0.7106898657954811), (17869, 0.7080981714491557), (58778, 0.7069573595109204), (5988, 0.7040609792876913), (2322, 0.700884914844569), (23805, 0.6981514593532738), (36973, 0.6980674965635808), (58465, 0.6947091785024464), (58268, 0.6939554110456724), (1552, 0.6900156577344471), (36991, 0.6869496256921593), (32231, 0.6868282337903013), (10857, 0.6867635240946757), (19143, 0.686689165459771), (11285, 0.6861668422467276), (31950, 0.6858160375503306), (42312, 0.6857756413046499), (16312, 0.684470135691516), (35319, 0.6834027752166968), (49826, 0.6827243675498019), (4559, 0.6803481858761936), (45989, 0.6802962877727485), (31512, 0.6790725489204116), (55225, 0.6772660309391668), (2310, 0.6767219810177392), (34, 0.6759019552651728), (44028, 0.6753142670228824), (38005, 0.6726010570765594), (35737, 0.6722800505966433), (21011, 0.6718814166812964), (34785, 0.6714724090774272), (5483, 0.6699508531975457), (39554, 0.6694293676711618), (40627, 0.6693180693368677), (35938, 0.6688831923848183), (16164, 0.6678565732333716), (35278, 0.6676343634498323), (34804, 0.6658366898196361), (1318, 0.6657924019299929), (32527, 0.6645566289445022), (3542, 0.6636664836730888), (51497, 0.6621946336350174), (21738, 0.6621936000194762), (7291, 0.6615854108755186), (59106, 0.6615708018117819), (52839, 0.6610535573587265), (40545, 0.6605672762880099), (35414, 0.6596902684418359), (8057, 0.6587830435614607), (35117, 0.6585568447083094), (21701, 0.6571074069941994), (9050, 0.656835169405141), (18977, 0.6545078463454654), (22741, 0.6542079496182838), (17159, 0.6540877495515892), (19345, 0.654051029944122), (26658, 0.6540411576194624), (19161, 0.6537074001094493), (16349, 0.6533158398407262), (7721, 0.6524768207477204), (59048, 0.6506996381227768)]"
18141,[]
58268,"[(22452, 0.7780519270073366), (34196, 0.7670312205613558), (54660, 0.7610604626281887), (30009, 0.7577175827663004), (53546, 0.7478198139412824), (1039, 0.7401594778678601), (6059, 0.7347104729173815), (1716, 0.7341197321150177), (50678, 0.7330687385031364), (49330, 0.7292449846382466), (12011, 0.7291873539267183), (33405, 0.7285887744270599), (27916, 0.7271299744709476), (2200, 0.7264152808702332), (52359, 0.7258475086426531), (31348, 0.7255614957670843), (2864, 0.725299099505997), (56189, 0.7246062155365918), (13064, 0.7245896416568985), (25546, 0.7243664548923129), (56982, 0.7231805512291161), (28155, 0.7190593686758533), (25748, 0.7184492217897511), (37078, 0.7142586022278087), (37113, 0.7134370274446203), (19250, 0.712974977695403), (22397, 0.7129390704968036), (7896, 0.7128662469249949), (55638, 0.7098797182893657), (36399, 0.7096173898097922), (21932, 0.7076783142618931), (42371, 0.7067112481005454), (31499, 0.7048772864526675), (49658, 0.7043395996591529), (54182, 0.7027189895964165), (33269, 0.7019873218655254), (31563, 0.701754556495844), (45928, 0.7003517970097881), (47036, 0.6999350957526991), (14120, 0.6985284929482405), (42139, 0.6983156213051755), (47320, 0.6982187278184455), (21063, 0.6981666860183859), (59377, 0.6963851208855929), (47730, 0.6956825182818824), (5719, 0.6944434096613834), (25457, 0.6944262209296433), (19075, 0.6939554110456724), (58320, 0.6926666232172239), (30686, 0.6923841922082675), (24272, 0.6920249019756044), (25629, 0.6915536633861453), (50129, 0.6912286990605268), (29315, 0.6909213296325225), (9361, 0.689537488413422), (56730, 0.6893432915905643), (36171, 0.6892970149761645), (43382, 0.6887521698635993), (26403, 0.6884755158220658), (12892, 0.6872743675848156), (17403, 0.6871736443874664), (43148, 0.6868488453386266), (15697, 0.6852396996889609), (11380, 0.6851505400094366), (50811, 0.6839341593032173), (44634, 0.6836049479832719), (18764, 0.6833409858695763), (57581, 0.681465710766339), (45345, 0.6804560148136913), (54760, 0.6801417987674407), (56790, 0.6797968745244931), (225, 0.6786326759170707), (28014, 0.6769101498699702), (13390, 0.6760116250316681), (34546, 0.6750989760873007), (41555, 0.6747478976797454), (41997, 0.6741150970542271), (31977, 0.6735071024094942), (7365, 0.672467082040387), (25690, 0.6721738436391809), (27303, 0.6714328528070981), (50576, 0.6713784519275466), (52091, 0.6711777093848097), (27476, 0.6701470692043368), (30456, 0.6697774053912686), (21093, 0.6694193092350567), (57149, 0.6694124488285131), (44456, 0.6686901542437249), (16514, 0.6668127219710632), (57062, 0.6660823373163438), (51949, 0.6659625299998301), (14445, 0.6654394845270732), (14300, 0.6653695016291628), (20528, 0.6649587777452742), (29206, 0.6644921019298503), (42615, 0.6641942189358996), (55791, 0.664071204793106), (51706, 0.663719717241104), (43842, 0.6634048638244253), (2473, 0.6633586766161643), (7881, 0.6629605561044262), (36137, 0.6623189163455797), (25205, 0.661812167838112), (439, 0.6600295472001911), (21826, 0.6596159454687937), (30740, 0.6593004677512858), (40370, 0.658742017057851), (39123, 0.6585940599910254), (16553, 0.6579374268410133), (36453, 0.6569728323300658), (24319, 0.6569544465657169), (10303, 0.6562250009884236), (20402, 0.6559175317322912), (56766, 0.6556229293247279), (13365, 0.6556152664711478), (25712, 0.6552828305214083), (24834, 0.6530289599844745), (50575, 0.6527827116939859), (22437, 0.6527078496627347), (29169, 0.6525543792318294), (19098, 0.6507766732714373), (45417, 0.6504932006977335), (58002, 0.6501053374368215)]"
17887,"[(42615, 0.7522884739009754), (324, 0.721783460865672), (30745, 0.7148287468990157), (19257, 0.7142397417230908), (28037, 0.6978043899472346), (54252, 0.695528634096129), (29929, 0.6731518638898437), (28494, 0.6630997154942474), (19082, 0.6578474676198033), (55179, 0.6562869216061795)]"
9519,"[(9361, 0.723735974526828), (13064, 0.6928094395349057), (21070, 0.685881607386817), (35596, 0.6841393475994076), (47061, 0.6834851039039174), (58002, 0.6701153053468201), (19250, 0.6608754395591537), (735, 0.6551636412084402), (2498, 0.6543577903613581), (50739, 0.6538158404432366), (12011, 0.6517482516457191), (7896, 0.6505542665636793), (31563, 0.6502643517067187)]"
40058,"[(2200, 0.7586419397702452), (1716, 0.7307653278273328), (51999, 0.7226007775497072), (53841, 0.7222485065040727), (14198, 0.7196647274716647), (7896, 0.717067085608278), (8743, 0.7120352738223932), (51706, 0.7057250839114779), (25546, 0.700953858180888), (30686, 0.7000946774757945), (47061, 0.6993637851425838), (22728, 0.6986402011174706), (31563, 0.6976955568293849), (25124, 0.6976474554602151), (13064, 0.6969318142904777), (12000, 0.6961208178943341), (40523, 0.6958086547862175), (1039, 0.6956707995746113), (53504, 0.6953959516705888), (5719, 0.6933934138384146), (14784, 0.6907134965447035), (33405, 0.6901327118373987), (19250, 0.6889754824198626), (5848, 0.6867461872135958), (36137, 0.6867441863649049), (13661, 0.6860822211038353), (2864, 0.6808368181879769), (27476, 0.6797837550542217), (38737, 0.6796682343127789), (22397, 0.6786555526546254), (47020, 0.6785730954805715), (58902, 0.677092998593112), (47320, 0.6755947946053995), (41832, 0.6747958272288924), (9361, 0.6741779503315937), (37078, 0.6724253777930259), (12011, 0.6699362903134002), (7281, 0.6686127428768468), (31977, 0.6683880552329956), (4661, 0.6654962702149545), (56189, 0.6654694937052275), (51067, 0.6651434607406256), (44456, 0.6643757291741361), (29206, 0.664059666643235), (43382, 0.6634386343694475), (41455, 0.6631308524946231), (5257, 0.6610844571519581), (51726, 0.6579248318327333), (21108, 0.657058299384464), (17380, 0.6562765565381775), (37113, 0.6550606275307267), (47730, 0.6516099321096491)]"
38391,"[(36313, 0.6896374284212382), (34240, 0.6748448018447667), (40676, 0.6707052255206448), (41741, 0.6588051541148084), (36046, 0.6539985784021146)]"
8189,"[(24266, 0.6834150210869205), (47061, 0.6782182895791717), (9361, 0.6647103872958074), (18602, 0.6536760025303303)]"
28846,[]
21108,"[(3542, 0.7769891064960598), (22592, 0.7584385218040136), (43889, 0.7559208025882649), (17869, 0.7513419638668244), (31448, 0.7454959626456157), (23671, 0.7425088005465624), (30695, 0.7375955179020559), (34, 0.7373324415169029), (33321, 0.7358473244770729), (34785, 0.7356411573196918), (57192, 0.7344861114363348), (37720, 0.7260550142028619), (46144, 0.7183389691454267), (15560, 0.716893128553035), (7287, 0.7120781494939271), (40545, 0.7084043668679588), (45915, 0.7078967459068924), (1709, 0.7077438122020424), (8057, 0.7076143641284139), (27291, 0.7067039609357831), (1419, 0.7036821179419793), (5070, 0.7035705902024554), (24849, 0.7035233026310717), (22799, 0.7033611159043676), (22987, 0.7031423896190722), (12712, 0.7018493454641271), (11468, 0.7015397967282827), (24575, 0.701414839775584), (38350, 0.6994328921671586), (4958, 0.6987091919702837), (47404, 0.6968296743576329), (1675, 0.6961711089145095), (10590, 0.6961111540308929), (4824, 0.6960393483745683), (46908, 0.6957021627749396), (19161, 0.6956845597823134), (31950, 0.6948348425570918), (45307, 0.6947606745046363), (9718, 0.6925040536467856), (24292, 0.6924393975425981), (44028, 0.6916850485773297), (1637, 0.691462619818373), (7765, 0.6912536752748106), (44952, 0.6911480483315325), (32231, 0.6909308748106618), (16656, 0.690090467770913), (20317, 0.6900303412263175), (23488, 0.6899141420531724), (58941, 0.689634205665973), (14164, 0.6892957899674103), (23764, 0.6888180411502023), (29843, 0.6883190392815254), (41987, 0.6875639870966969), (38005, 0.6874756286901743), (14123, 0.6866943015720048), (15853, 0.6860706021807872), (50880, 0.6860000220860667), (44015, 0.6847427221985896), (5483, 0.6830152463558751), (48785, 0.6830030303724287), (31889, 0.6825015536226006), (41551, 0.682402707370626), (34147, 0.6820056007094492), (59208, 0.6818086491643819), (21701, 0.680634035894376), (58778, 0.6797933773243976), (41907, 0.6793757667321316), (43954, 0.6789690819091333), (22814, 0.67683315210231), (36991, 0.6760804817080148), (58533, 0.6758874858650884), (48244, 0.675470344943154), (35830, 0.6753614896256679), (12271, 0.6733807037238095), (5988, 0.6729131128986132), (2310, 0.6720018729907762), (49826, 0.6715906448833565), (18451, 0.6714821279216042), (19143, 0.6702001218461187), (46044, 0.6699975372757169), (37778, 0.6697572231477867), (45615, 0.6696087615132054), (35178, 0.6694389812022291), (46450, 0.6690469164913284), (44126, 0.668405630075685), (21199, 0.6681851842214999), (37602, 0.6681580022941946), (5175, 0.6678391404646209), (8871, 0.6670940785111765), (7968, 0.666617415234966), (40094, 0.6664622983950383), (3296, 0.6659128103951614), (28679, 0.6655343354186309), (9044, 0.6653530278996226), (2737, 0.665330360238803), (30232, 0.6651775045855172), (4570, 0.6645596601378467), (8920, 0.664264142326064), (6621, 0.6642556141389425), (3369, 0.6642442365551396), (30356, 0.6634413033947995), (9105, 0.663098342131462), (31420, 0.6629300019597484), (16192, 0.6614287583827432), (31603, 0.6611193728559481), (1560, 0.6608465130564812), (27004, 0.6594215252266539), (31512, 0.6594007567276119), (21738, 0.6591732024466506), (12790, 0.6577334436795379), (40566, 0.6576147076051893), (14706, 0.6574072465210534), (40058, 0.657058299384464), (46889, 0.6567816732801707), (40627, 0.6558752759556687), (26167, 0.6555812825221654), (10057, 0.6555344437314993), (23805, 0.6555241917759729), (35278, 0.6540898926482144), (45656, 0.653921885394448), (58721, 0.6537200085743519), (54795, 0.6535389447863683), (1552, 0.65340262433168), (13036, 0.6532879291946929), (29124, 0.6525090137026403), (38964, 0.6525026781140473), (37800, 0.6524799843494954), (28862, 0.6523943643330181), (20150, 0.6522097660238014), (30359, 0.6513916976646885), (24329, 0.6511550052412173), (52839, 0.6509719180415816), (59756, 0.6508847194312616), (49792, 0.6505656854408686), (11788, 0.650476731461218)]"
25083,"[(36171, 0.6918149159640473), (4036, 0.6908995179769658), (52809, 0.6817220578628274), (53906, 0.6784801446755796), (41455, 0.6784518883601267), (51067, 0.675249082634313), (41776, 0.6725124441449977), (44634, 0.6712608406739773), (25546, 0.670146019127157), (2864, 0.6669068593894583), (56189, 0.6663282307577915), (25690, 0.6657281290533489), (57539, 0.6655626811172918), (27476, 0.6625669586597511), (26583, 0.6597426144456406), (13443, 0.6594025606473589), (22323, 0.6589328311657974), (52359, 0.657716716486856), (22397, 0.6558941149753412), (31499, 0.65581477418236), (21063, 0.6540758522535026), (11380, 0.6539607541821776), (22037, 0.6526278000430479), (31563, 0.650905696975794)]"
49282,"[(20136, 0.6718651937909433), (46353, 0.6565949767455513), (17045, 0.6509749774671328)]"
35319,"[(3268, 0.7214527722604638), (33582, 0.7097968079975213), (17455, 0.6950444077994824), (1168, 0.6928682843225419), (39205, 0.6912220617445918), (20512, 0.6906147428980981), (34191, 0.6863548264888789), (4771, 0.6851027273337194), (14721, 0.684338510736966), (37113, 0.6842519979045796), (53906, 0.6838979224361581), (19075, 0.6834027752166968), (17701, 0.681667431221566), (52259, 0.6813565964579432), (59916, 0.6808866312157668), (31977, 0.6783977646361771), (11690, 0.6754378456927632), (14949, 0.6742001933169542), (19145, 0.6739391822869419), (33343, 0.6727779312729323), (2053, 0.6726436920203499), (8146, 0.6724795159929738), (57062, 0.6692178539718335), (25457, 0.6612673525554862), (48989, 0.6595086576499634), (39123, 0.6591232947292988), (49658, 0.6591159432612101), (36703, 0.6590028277339848), (35676, 0.6579302115124906), (45971, 0.6577410007490441), (9008, 0.6573609133967739), (47044, 0.6560009998751937), (2864, 0.6557508407969691), (31185, 0.654704275931777), (19691, 0.6541793531433607), (10942, 0.6537755759704033), (28014, 0.6536533338309286), (57220, 0.65333354085018), (16023, 0.6521377639635867), (124, 0.6516286135777403)]"
22437,"[(9050, 0.7230192312513395), (58721, 0.7029489966515712), (14164, 0.7026278752757048), (36973, 0.6998804415720985), (31950, 0.6985476145428976), (6847, 0.6950340250419547), (9095, 0.6946029381317226), (49014, 0.692851154671721), (58941, 0.6921911077732394), (1637, 0.6897643799170456), (41987, 0.6875349142650585), (15853, 0.6866035725168821), (44836, 0.6850867626936304), (12625, 0.6849108964522878), (36511, 0.6845936327521579), (11485, 0.6841651763273182), (7968, 0.6841607025254004), (12712, 0.6830185667716842), (22592, 0.6827604225035259), (40566, 0.6805005971415475), (4570, 0.6774758179823366), (20483, 0.6754689754126699), (43684, 0.6741821194298196), (7765, 0.6740965178847663), (45656, 0.6740469163786725), (57192, 0.6735230022758202), (28862, 0.6734392040047937), (59048, 0.6732871424293527), (4958, 0.671854107614336), (4297, 0.6713633673349523), (55225, 0.670875441874636), (25817, 0.6705693345810592), (6141, 0.6705000221371303), (37602, 0.6680730543723462), (43889, 0.6680388442507488), (52513, 0.6672840242543343), (31889, 0.6669237281577028), (51497, 0.6663516038728162), (12202, 0.6661800783687853), (3369, 0.6657491540285682), (33321, 0.6651444978244268), (56681, 0.6649922512488935), (48244, 0.664954247321097), (5175, 0.6646640916083218), (21443, 0.6632067821144775), (55035, 0.6625217631237001), (32231, 0.6622780252947004), (7291, 0.6621834987236436), (3542, 0.6610464344657075), (34785, 0.6607217507488549), (27546, 0.6606669897887242), (22814, 0.6582869950270398), (8920, 0.6575533449147495), (7576, 0.6565095992568941), (59208, 0.6556625526933478), (52344, 0.6538492961128528), (9044, 0.6536794428751166), (24419, 0.6535994388635296), (37800, 0.6533845001411056), (58268, 0.6527078496627347), (11559, 0.6521165979879326), (5483, 0.651811112087123), (51434, 0.6512996772117068), (27003, 0.6505647670238524)]"
30762,"[(55287, 0.71050858278003), (9555, 0.7085627581194963), (33805, 0.7067712959649175), (54454, 0.7053811915135634), (58072, 0.6939759801940238), (56439, 0.682911717781594), (57496, 0.6714202975236169), (16170, 0.669107097556355)]"
9287,"[(22885, 0.6897153294412345)]"
43506,"[(56986, 0.7458566177440447), (7609, 0.7114691365084713), (52524, 0.7099978632143598), (1811, 0.7075046005077489), (39096, 0.6918843076320869), (30523, 0.6628109974934783)]"
50369,"[(47044, 0.7515985749895463), (22650, 0.7112107470016406), (34572, 0.7070841659967061), (3268, 0.7055439633087832), (22037, 0.6918958902422367), (44456, 0.6909539039419277), (37113, 0.6894830775035131), (16257, 0.6869782290988851), (19691, 0.679903595316266), (29425, 0.6796302297079291), (40370, 0.6792433001415245), (9008, 0.6777667284479779), (43250, 0.6774533297481484), (42891, 0.6745531565815824), (22101, 0.6741420292228413), (2864, 0.6691230219326776), (42439, 0.6685420235900842), (41456, 0.667513300889688), (54760, 0.6671993012693388), (21826, 0.6654034931514813), (5406, 0.6650495107564669), (19145, 0.6635491514258395), (51067, 0.6615622393863769), (52359, 0.6609627956928353), (49658, 0.6606365695861784), (23004, 0.6604038251020626), (24939, 0.6596175286939822), (27476, 0.6590321116281422), (28068, 0.6585568347520955), (22397, 0.6542576781210441)]"
58297,"[(3872, 0.671585091682282)]"
16987,"[(46908, 0.6637423106718988), (44028, 0.6606685972929132), (38428, 0.6575889882134095), (5175, 0.6528479218960584)]"
45519,[]
34062,"[(1168, 0.6721004314001356), (19145, 0.6686037917809073), (44456, 0.6586498225595067), (14435, 0.6568712097340496), (18299, 0.652108866728847)]"
26945,[]
19190,"[(58002, 0.6600796910807873), (17805, 0.6522418856028558)]"
39314,[]
5219,[]
51867,"[(39625, 0.7088058385449065), (24070, 0.7056252008433793), (40566, 0.7045568889850179), (12712, 0.7022988101097166), (13071, 0.6930029713988907), (53048, 0.6912364964959289), (59048, 0.6894402449653219), (25114, 0.6836299446084899), (33505, 0.6802925598783475), (2895, 0.6796631719144044), (41833, 0.6782362800098911), (36046, 0.6739166924574179), (12717, 0.6729709744851327), (8236, 0.6684705710459986), (20448, 0.6684310179385554), (26197, 0.6659762030197072), (15387, 0.6656057330931049), (44302, 0.6654574332348322), (4297, 0.6653413885172724), (6780, 0.6637442867166576), (12488, 0.6625816332886625), (48684, 0.6608850196007733), (36511, 0.6595603756063056), (36313, 0.6595068194633459), (58778, 0.6592522430885226), (45177, 0.6543002293661953), (15853, 0.6537627128143737), (43927, 0.6514006585007154), (57860, 0.6511876252907014), (43889, 0.6511074010336583)]"
3919,[]
48850,[]
6008,"[(42439, 0.6677835916398871), (24010, 0.6573612008935538)]"
9181,"[(17076, 0.6607615849953092)]"
14123,"[(25742, 0.7361367178369562), (22397, 0.7345938308011206), (52359, 0.7057281839390325), (13064, 0.7048240100204932), (19250, 0.7006351511246038), (33269, 0.6966329616804211), (34196, 0.6963250756329876), (45586, 0.6960456502682502), (58123, 0.6915646906227704), (59377, 0.6905385638048428), (2200, 0.6903830709629439), (21108, 0.6866943015720048), (815, 0.6858743041405181), (53546, 0.6839636423540352), (47320, 0.6812477681793622), (43382, 0.6774142238758609), (16294, 0.6768833400302825), (34572, 0.6762315766974031), (47036, 0.6738161564845039), (49132, 0.672810305922277), (56189, 0.6721503551053579), (51067, 0.6704870233177743), (50678, 0.6702198779070108), (58002, 0.6671330210432245), (29206, 0.6658713330797018), (31333, 0.6633165706466749), (54182, 0.6622627584764552), (33405, 0.6611505009412165), (46838, 0.6611075560678956), (13390, 0.660920615138847), (56790, 0.6593117126526893), (24266, 0.6592871865073359), (36348, 0.6590931532100482), (6597, 0.6587181523268828), (57581, 0.657506379963348), (14198, 0.6539580954612542), (7896, 0.6533853321018355), (5719, 0.6526054621430468), (49658, 0.6520450187010305), (48719, 0.6520254474411507), (47020, 0.6512407582060048)]"
29002,[]
52577,"[(9095, 0.7062692643793731), (17869, 0.7052388253407417), (3704, 0.7033866335381473), (29055, 0.6978202688794716), (35830, 0.6951536278898459), (54116, 0.6943207570138489), (45989, 0.6836115062901061), (39845, 0.6823106619870012), (23671, 0.6773991871004891), (4559, 0.6771557820568118), (34147, 0.6699800582911689), (2322, 0.6669758159122522), (47425, 0.6661399209496419), (7260, 0.6617639622567661), (30356, 0.6605461158158762), (32264, 0.6545035477039869), (33250, 0.653438738941957), (55225, 0.6533339752726581), (45615, 0.6523719115868587), (38005, 0.6517936075099473), (8943, 0.6517189829462332), (26658, 0.6515588217778431), (42518, 0.650399102304884)]"
